File,Timestamp,PageNumber,HighlightedText,UserNote
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 00:01",62,"We often try to conceal certain feelings because we think expressing them would be inappropriate or that it would make us look weak, which is a mistake. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 00:01",60,"Telling someone you like them is also a good way of polarizing",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 07:22",59,"showing interest for a woman captures her attention, and that this will at least make her think about us for a while.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 07:25",60,"attraction works not at a conscious but at a subconscious level.


We do not choose who we feel attracted to.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 07:27",60,"complimenting someone because we want something from them.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 08:30",68,"If a friend comes over to visit us, it may not be because we are very significant, but perhaps because we make
 him
 feel significant, perhaps he feels comfortable around us, or feels understood",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 09:01",74,"capacity to
 bond with different kinds of people
 regardless of ideological differences. T",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 09:04",75,"The process of isolating a woman is to be carried out when we are certain she is interested and feels attracted to us.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/17/2021 09:10",73,"When it comes to humor, jokes always work better if one keeps a straight face,",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/18/2021 09:43",88,"Why would I want to be with someone who doesn’t want to be with me?",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/19/2021 09:07",89,"beauty is relative, and we are conditioned by context. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/19/2021 09:10",90,"it is necessary to value ourselves.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/19/2021 09:11",90,"If we have a more selective, less needy personality, and healthily value ourselves and the people we choose to share our life with, then our behavior will be much more attractive.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/19/2021 09:15",91,"Very few women stay receptive for long. That generally happens when a woman considers a man to be unique, very different to all others, and she feels she is in love with him",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/19/2021 09:19",92,"Neutral Women",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/20/2021 07:53",94,"Therefore, keeping love a secret and then making it known is not a good choice",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/20/2021 08:01",96,"It is fundamental that we are able to identify our own interests, tastes, values, and passions ―and that we figure where we can find women who respond to them.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/20/2021 08:04",97,"lifestyle: enjoy the process, continually establish new relationships, and try to get to know people better. It really is something enjoyable.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/20/2021 08:08",98,"It is best to simply enjoy the process of meeting people, and to draw bridges between other people",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/20/2021 08:26",103,"for a date to go well, the affinity between the people going on it is more important than the place itself. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/21/2021 09:14",112,"we also find greater value in the potential pleasure we could get from elements we have not yet obtained than in actually obtaining them",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 08:26",112,"happiness can be derived from investing in experiences and relationships than in possessions",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 08:31",113,"feeling that one has some control over where one is going in life. People who have no control over what they do will suffer low levels of happiness, regardless of what they experience or how many goals they accomplis",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 08:34",114,"Instead of wondering,
 “Why do these things happen to me?”
 , we should ask ourselves,
 “What can I do about it?”.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 08:49",113,"We all have problems, the difference lies in how we handle them. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 08:57",115,"If, in turn, we are capable of building internal validation, we will be able to establish and fulfill our own goals and objectives",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 09:07",119,"if there is no solution, then there is no problem",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 13:35",111,"we are rarely aware of it while we are living through a happy period, but we do notice its absence once we have fallen from grace",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 13:36",105," I like thinking how, at that very moment I’m looking at them, they are the product of their whole life. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 13:37",105," It is all about discovering the person right there next to us",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/22/2021 23:05",104," I think that the right question is “What do we enjoy doing?",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/23/2021 08:52",111,"looking at people’s exterior circumstances, one can only foreshadow 10% of their long-term happiness. The other 90% depends on how they assimilate to their environmen",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/23/2021 09:22",74,"Dont wait too long to reveal your shared interest or it will seem like youre being 
        tricky.",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/23/2021 09:27",75,"Phrasing it that way, youve 
        already subliminally answered Jills questions and shes more apt to give you a quick yes.",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/23/2021 09:27",75,"For many people, thinking is painful.",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/23/2021 09:28",76,"However, in the second case, Boss, can you do without me Friday, you did Bosss thinking 
        for her. Your new wording made managing without you a matter of pride for Boss. O",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/25/2021 07:33",93,"You must have knowledgeable curiosity, the kind that 
        makes you sound like youre worth talking to.",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/25/2021 07:37",98,"Every job, every sport, every interest has insider opening quetions that everybody in 
        the same field asksa",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/25/2021 08:27",100,"Before jumping blindly into a bevy of bookbinders or a drove of dentists, find out what 
        the hot issues are in their fields. E",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/25/2021 12:01",102,"Soon youll become addicted to the high that establishing raport with so many people 
        gives you.",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/25/2021 12:04",101,"Turn to any other section, 
        preferably one you hardly ever read. Why? Because it will familiarize you with other 
        worlds so that you can soon discuss anything with anybody, no matter how little you have 
        in common.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/28/2021 14:10",16,"Shedding his self, his flesh and blood, in order to inhabit a role was his calling.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/29/2021 08:29",18,"calligraphy. It was as if he felt that the black symbols flowing from his brush onto the pure white paper could somehow lay bare the workings of his heart.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/29/2021 08:34",19,"Why don’t you have any friends?”",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/30/2021 09:00",28,"Examining your own heart, however, is another matter. I think it’s possible to see what’s in there if you work hard enough at it.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/30/2021 09:01",28," If that’s what you wish to call it, then we men are all living with the same sort of blind spot.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/30/2021 09:16",32,"“So then we’re all actors,” Kafuku said.
“Yes, I think that’s true. To a point, anyway.”",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/1/2021 08:58",32,"There’s no logic involved. All I can do is accept what they did and try to get on with my life.”",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/1/2021 08:59",32,"But the self that one returned to was never exactly the same as the self that one had left behind.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/1/2021 09:04",12,"It appears I have a blind spot. On the right side, in the corner. I had no idea.”",
"file:///media/My Files/Books/Convenience Store Woman by Sayaka Murata (z-lib.org).epub","1/8/2022 11:06",16,"Infecting each other like this is how we maintain ourselves as human is what I think.",
"file:///media/My Files/Books/Convenience Store Woman by Sayaka Murata (z-lib.org).epub","1/8/2022 11:11",17,"I’d noticed soon after starting the job that whenever I got angry at the same things as everyone else, they all seemed happy.",
"file:///media/My Files/Books/Convenience Store Woman by Sayaka Murata (z-lib.org).epub","1/8/2022 11:22",21,"The sensation that the world is slowly dying feels good",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","1/9/2022 10:30",29,"It was that hand that had caressed my wife’s naked body, he thought.",
"file:///media/My Files/Books/Convenience Store Woman by Sayaka Murata (z-lib.org).epub","2/4/2022 07:46",29,"I looked at the small knife we’d used to cut the cake still lying there on the table: if it was just a matter of making him quiet, it would be easy enough. ",
